n,time-seconds
692,0.3235474580
693,0.3293277920
694,0.3175637500
695,0.3213874580
696,0.3335728330
697,0.3358295420
698,0.3357127500
699,0.3174715420
700,0.3214787910
701,0.3241657090
702,0.3294115420
703,0.3279642920
704,0.3347751250
705,0.3287250830
706,0.3336230000
707,0.3295850410
708,0.3362099170
709,0.3369830830
710,0.3414231670
711,0.3319320000
712,0.3439552080
713,0.3405247500
714,0.3391212080
715,0.3394058340
716,0.3392931670
717,0.3388308750
718,0.3404652920
719,0.3660800000
720,0.3480990410
721,0.3491393330
722,0.3481805420
723,0.3435752500
724,0.3513661250
725,0.3488253750
726,0.3567792500
727,0.3519322080
728,0.3685404580
729,0.3590240420
730,0.3456015840
731,0.3474267500
732,0.3505170840
733,0.3589406670
734,0.3562147500
735,0.3589172080
736,0.3567565420
737,0.3719813750
738,0.3701195000
739,0.3599307500
740,0.3833467090
741,0.3700689590
742,0.3809296250
743,0.3666377500
744,0.3680277500
745,0.3725215000
746,0.3732634170
747,0.3835213750
748,0.3812431250
749,0.3710872080
750,0.3734940000
751,0.3714157090
752,0.3784377500
753,0.3773274170
754,0.3947611670
755,0.3966812500
756,0.3814491660
757,0.3779186250
758,0.3950424170
759,0.3990166250
760,0.3983299580
761,0.3990530830
762,0.3871709160
763,0.3889529170
764,0.3884508750
765,0.3901266250
766,0.3974392080
767,0.4032008750
768,0.3878439170
769,0.3973808750
770,0.3977696250
771,0.3958215840
772,0.3991147080
773,0.4079800000
774,0.3951354580
775,0.3983851250
776,0.3994235420
777,0.3963330420
778,0.4021840000
779,0.4035282080
780,0.4027455420
781,0.4046935840
782,0.4096383330
783,0.4126128750
784,0.4079054170
785,0.4246942910
786,0.4087213750
787,0.4096268750
788,0.4146392920
789,0.4139025420
790,0.4279712500
791,0.4338421250
792,0.4146375420
793,0.4170374590
794,0.4183821670
795,0.4314736250
796,0.4265777080
797,0.4345222500
798,0.4205798330
799,0.4294548750
800,0.4192460420
801,0.4290430000
802,0.4297470830
803,0.4358749170
804,0.4301048330
805,0.4428623750
806,0.4334920840
807,0.4396953750
808,0.4496110830
809,0.4463717080
810,0.4320961250
811,0.4368082090
812,0.4382870000
813,0.4415564580
814,0.4471654170
815,0.4456030840
816,0.4469004160
817,0.4474523750
818,0.4488089590
819,0.4490993330
820,0.4574896250
821,0.4495340000
822,0.4452248330
823,0.4506922500
824,0.4522064590
825,0.4544515000
826,0.4566500000
827,0.4579993750
828,0.4590010830
829,0.4529795420
830,0.4713259580
831,0.4597678340
832,0.4629537920
833,0.4616038750
834,0.4657736670
835,0.4713613750
836,0.4682638750
837,0.4601919580
838,0.4702537500
839,0.4715352500
840,0.4737930420
841,0.4781010830
842,0.4732132090
843,0.4683302080
844,0.4766178330
845,0.4758118750
846,0.4930469160
847,0.4841131250
848,0.4791074580
849,0.4866327090
850,0.4835506660
851,0.4762767910
852,0.4785325840
853,0.4838798750
854,0.4900322920
855,0.4998414160
856,0.4909616250
857,0.5013327500
858,0.4920502090
859,0.4863182500
860,0.4951651250
861,0.4998577080
862,0.4967222500
863,0.4953047910
864,0.4963017910
865,0.4938387090
866,0.5018854160
867,0.5078429580
868,0.4979972910
869,0.5055575840
870,0.5070712080
871,0.5218869170
872,0.5089142500
873,0.5108546670
874,0.5231263330
875,0.5295191670
876,0.5071645420
877,0.5192113330
878,0.5180822500
879,0.5159653750
880,0.5178203330
881,0.5235428750
882,0.5232358750
883,0.5235365000
884,0.5177165830
885,0.5256267080
886,0.5354520840
887,0.5281515420
888,0.5310351250
889,0.5357271660
890,0.5336530420
891,0.5358407500
892,0.5364699590
893,0.5269364580
894,0.5335922920
895,0.5452770000
896,0.5502474590
897,0.5421361250
898,0.5424705410
899,0.5428822500
900,0.5386286250
901,0.5479800830
902,0.5528006250
903,0.5420170420
904,0.5414522090
905,0.5541848750
906,0.5572470410
907,0.5595914170
908,0.5522174170
909,0.6000429580
910,0.5687535830
911,0.5594891250
912,0.5751485410
913,0.5630470000
914,0.5920300410
915,0.5872221250
916,0.6230385830
917,0.5828321250
918,0.5697178750
919,0.5711525420
920,0.5650608340
921,0.5784148750
922,0.5827000830
923,0.5825227920
924,0.5820245420
925,0.5762967080
926,0.5823395420
927,0.5865410000
928,0.5769570420
929,0.5803563330
930,0.5880752500
931,0.5883561250
932,0.5876737920
933,0.5970703750
934,0.6021461250
935,0.5911626670
936,0.5966749170
937,0.6015922500
938,0.6137950830
939,0.5995184160
940,0.6094844170
941,0.5931097920
942,0.5913384170
943,0.6148940420
944,0.6148318340
945,0.6383989590
946,0.6156958330
947,0.6105042910
948,0.6050635840
949,0.6111143750
950,0.6108659580
951,0.6107375410
952,0.6208226670
953,0.6157247090
954,0.6293342920
955,0.6273397500
956,0.6205472920
957,0.6176544590
958,0.6264050410
959,0.6164967500
960,0.6231995000
961,0.6261678330
962,0.6194696670
963,0.6295176250
964,0.6401679160
965,0.6277695000
966,0.6361815830
967,0.6380849590
968,0.6271940840
969,0.6356087500
970,0.6482949580
971,0.6429646660
972,0.6535710420
973,0.6459676250
974,0.6352511250
975,0.6375882920
976,0.6453873750
977,0.6383782920
978,0.6472348750
979,0.6500680000
980,0.6407285410
981,0.6555242920
982,0.6532581250
983,0.6606951660
984,0.6565920000
985,0.6625968750
986,0.6613805420
987,0.6645398750
988,0.6651556670
989,0.6730117080
990,0.6692130830
991,0.6756366250
992,0.6689992910
993,0.6794617920
994,0.6732709580
995,0.6686282920
996,0.6754422080
997,0.6770005000
998,0.6679639580
999,0.6857007080
1000,0.6790329580
